ITEM;ENTIDADE;UF;Regiao;ID_MUNICIPIO;Localizacao;nota_CN;tipo;scores;categoria;PE;DOUTORADO;MESTRADO;ESPECIALIZAÇÃO;SEM.QUALIFICAÇÃO
376;15042952;PA;Norte;1501402;Urbana;460,4;Regular;29,23671526;Básica;0,67;0;0,5;0;0,5
377;25080270;PB;Nordeste;2503803;Urbana;433,2;Regular;29,25806664;Básica;0,5;0;0;0;1
378;31353558;MG;Sudeste;3155108;Urbana;495,4;Regular;29,26491333;Básica;0,5;0;0;0;1
379;29226147;BA;Nordeste;2916906;Urbana;469,8;Regular;29,28772619;Básica;0,51;0;0;1;0
380;22042660;PI;Nordeste;2200608;Urbana;472,8;Regular;29,31387076;Básica;0,63;0;0;1;0
381;26110229;PE;Nordeste;2607901;Urbana;474,4;Regular;29,36352192;Básica;0,45;0;0;0;1
382;21134200;MA;Nordeste;2100907;Rural;450,3;Regular;29,37936565;Básica;0,71;0;0;0,47;0,53
383;25075918;PB;Nordeste;2502151;Urbana;474,6;Regular;29,39345369;Básica;0,67;0;1;0;0
384;33008795;RJ;Sudeste;3301009;Urbana;480,6;Regular;29,43598541;Básica;0,8;0;0;0;1
385;29081319;BA;Nordeste;2903805;Urbana;461,1;Regular;29,4363624;Básica;0,08;0;0;1;0
386;27230562;AL;Nordeste;2703304;Rural;411,6;Indígena;29,45497787;Básica;0,5;0;0;0;1
387;31062707;MG;Sudeste;3135209;Rural;418,3;Regular;29,46760838;Básica;0,33;0;0;0;1
388;21042349;MA;Nordeste;2107605;Rural;462,9;Regular;29,46773243;Básica;0,5;0;0;0;1
389;26128594;PE;Nordeste;2611606;Urbana;477,7;Regular;29,47204362;Básica;0,64;0;0;0,5;0,5
390;25027573;PB;Nordeste;2502102;Urbana;459,8;Regular;29,49614191;Básica;0,9;0;0;0,63;0,37
391;21247935;MA;Nordeste;2110203;Rural;433,7;Regular;29,49670528;Básica;0,67;0;0;0;1
392;17083800;TO;Norte;1718865;Rural;522,4;Indígena;29,50727761;Básica;0,14;0;0;0;1
393;26130521;PE;Nordeste;2602902;Urbana;479,3;Regular;29,51170625;Básica;0,38;0;0;0;1
394;11027142;RO;Norte;1100049;Rural;379,8;Indígena;29,52979358;Básica;0,5;0;0;1;0
395;25051660;PB;Nordeste;2512788;Urbana;461,3;Regular;29,53153831;Básica;1;0;0;0;1
396;25089838;PB;Nordeste;2512762;Urbana;460,8;Regular;29,55338681;Básica;0,67;0;0;0,5;0,5
397;29461529;BA;Nordeste;2930105;Urbana;417,6;Regular;29,55427942;Básica;0,04;0;0;1;0
398;52077411;GO;CO;5200258;Urbana;466,1;Regular;29,56092661;Básica;0,43;0;0;0;1
399;21035032;MA;Nordeste;2112506;Urbana;474,8;Regular;29,58816304;Básica;0,62;0;0;0,19;0,81
400;21083789;MA;Nordeste;2109239;Urbana;480,4;Regular;29,58816304;Básica;0,33;0;0;1;0
401;21275475;MA;Nordeste;2102309;Rural;452,8;Regular;29,60233409;Básica;0,33;0;0;1;0
402;26075733;PE;Nordeste;2606002;Urbana;464,4;Regular;29,62033324;Básica;0,6;0;0;0,33;0,67
403;22131060;PI;Nordeste;2209757;Urbana;450,6;Regular;29,63986664;Básica;0,36;0;0;0;1
404;22108114;PI;Nordeste;2211001;Urbana;462,7;Regular;29,64608141;Básica;0,77;0;0,5;0;0,5
405;31349313;MG;Sudeste;3170107;Urbana;494,3;Profissionalizante;29,65613579;Básica;0,97;0;0;0,29;0,71
406;21193355;MA;Nordeste;2105500;Rural;451,7;Regular;29,6615768;Básica;0,43;0;0;1;0
407;21327238;MA;Nordeste;2104909;Rural;436;Regular;29,6823929;Básica;0,14;0;0;0;1
408;25092898;PB;Nordeste;2507507;Urbana;446;Mediação;29,68666791;Básica;0,67;0;0,03;0,53;0,45
409;23246618;CE;Nordeste;2301000;Rural;446,5;Regular;29,69596409;Básica;1;0;0;0,86;0,14
410;26179474;PE;Nordeste;2601102;Urbana;524,5;Regular;29,71941381;Básica;0,67;0;0;0,27;0,73
411;22136045;PI;Nordeste;2207009;Rural;467,7;Profissionalizante;29,74027594;Básica;1;0;0;0;1
412;29354943;BA;Nordeste;2929370;Urbana;487,3;Regular;29,75007751;Básica;0,19;0;0;0;1
413;29465400;BA;Nordeste;2902203;Urbana;458,1;Regular;29,76509644;Básica;0,45;0;0;0,75;0,25
414;42102480;SC;Sul;4205407;Urbana;498,2;Regular;29,78891358;Básica;1;0;0;0,33;0,67
415;22147209;PI;Nordeste;2211100;Urbana;472,1;Profissionalizante;29,79311626;Básica;0,9;0;0;0,44;0,56
416;26001942;PE;Nordeste;2602001;Urbana;519,7;Regular;29,80148775;Básica;0,42;0;0;0;1
417;26175533;PE;Nordeste;2601102;Urbana;510,8;Profissionalizante;29,80148775;Básica;0,27;0;0;0;1
418;43059864;RS;Sul;4307559;Urbana;513,1;Regular;29,80148775;Básica;0,35;0;0;1;0
419;52093115;GO;CO;5218805;Urbana;467,7;Regular;29,80148775;Básica;0,38;0;0;0,28;0,72
420;21148970;MA;Nordeste;2108454;Urbana;489,9;Regular;29,83553032;Básica;0,43;0;0;0;1
421;26003210;PE;Nordeste;2605301;Urbana;477,8;Regular;29,83838759;Básica;0,47;0;0;0;1
422;43086730;RS;Sul;4312203;Urbana;497,9;Regular;29,83838759;Básica;0,67;0;0;1;0
423;22133070;PI;Nordeste;2207702;Urbana;477,6;Regular;29,83857177;Básica;0,71;0;0;0,2;0,8
424;29411491;BA;Nordeste;2927408;Urbana;475,6;Regular;29,84572152;Básica;0,6;0,38;0;0,53;0,09
425;21272778;MA;Nordeste;2102101;Rural;455,7;Regular;29,85049848;Básica;0,33;0;0;1;0
426;21254362;MA;Nordeste;2106706;Rural;514,7;Regular;29,85826069;Básica;0,5;0;0;1;0
427;29270545;BA;Nordeste;2904803;Urbana;475,9;Regular;29,92838402;Básica;0,41;0;0,14;0,86;0
428;28026543;SE;Nordeste;2805604;Rural;467,2;Regular;29,95714606;Básica;1;0;0;0;1
429;22009035;PI;Nordeste;2206803;Rural;435,1;Regular;29,99212827;Básica;0,2;0;0;0;1
